"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"14000 kHz";"14250 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"";"RFID";"EN 300 330";"Within frequency range 11.810-15.310 MHz"
"14000 kHz";"14250 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"14250 kHz";"14350 kHz";"AMATEUR";"5.152";"AMATEUR";"";"";"Amateur";"EN 301 783";"Within the band 14000-14350 kHz"
"14250 kHz";"14350 kHz";"AMATEUR";"5.152";"AMATEUR";"";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"14250 kHz";"14350 kHz";"AMATEUR";"5.152";"AMATEUR";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"14250 kHz";"14350 kHz";"AMATEUR";"5.152";"AMATEUR";"";"";"RFID";"EN 300 330";"Within frequency range 11.810-15.310 MHz"
"14250 kHz";"14350 kHz";"AMATEUR";"5.152";"AMATEUR";"";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"14350 kHz";"14990 kHz";"FIXED, Mobile except aeronautical mobile (R)";"";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"14350 kHz";"14990 kHz";"FIXED, Mobile except aeronautical mobile (R)";"";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"14350 kHz";"14990 kHz";"FIXED, Mobile except aeronautical mobile (R)";"";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"";"Land military systems";"";""
"14350 kHz";"14990 kHz";"FIXED, Mobile except aeronautical mobile (R)";"";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"";"Maritime military systems";"";""
"14350 kHz";"14990 kHz";"FIXED, Mobile except aeronautical mobile (R)";"";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"";"RFID";"EN 300 330";"Within frequency range 11.810-15.310 MHz"
"14350 kHz";"14990 kHz";"FIXED, Mobile except aeronautical mobile (R)";"";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"14990 kHz";"15005 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"14990 kHz";"15005 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"14990 kHz";"15005 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"";"RFID";"EN 300 330";"Within frequency range 11.810-15.310 MHz"
"14990 kHz";"15005 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"";"SAR (communications)";"";"14993 kHz (+/-3 kHz) concerning manned space vehicles"
"14990 kHz";"15005 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL (15 000 KHZ)";"5.111";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"15005 kHz";"15010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"15005 kHz";"15010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"15005 kHz";"15010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"";"RFID";"EN 300 330";"Within frequency range 11.810-15.310 MHz"
"15005 kHz";"15010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"15010 kHz";"15100 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"";"Aeronautical communications";"";"Appendix 26 Allotment Plan"
"15010 kHz";"15100 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"";"Aeronautical military systems";"";""
"15010 kHz";"15100 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"15010 kHz";"15100 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"15010 kHz";"15100 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"";"RFID";"EN 300 330";"Within frequency range 11.810-15.310 MHz"
"15010 kHz";"15100 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"15100 kHz";"15600 kHz";"BROADCASTING";"";"BROADCASTING";"";"";"Broadcasting";"EN 302 017, EN 302 245";"RR-Article 12 planning procedure. Digital systems to be introduced"
"15100 kHz";"15600 kHz";"BROADCASTING";"";"BROADCASTING";"";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"15100 kHz";"15600 kHz";"BROADCASTING";"";"BROADCASTING";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"15100 kHz";"15600 kHz";"BROADCASTING";"";"BROADCASTING";"";"";"RFID";"EN 300 330";"within frequency range 11.810-15.310 MHz"
"15100 kHz";"15600 kHz";"BROADCASTING";"";"BROADCASTING";"";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"15600 kHz";"15800 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"";"Broadcasting";"EN 302 017, EN 302 245";"RR-Article 12 planning procedure. Digital systems to be introduced"
"15600 kHz";"15800 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"15600 kHz";"15800 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"15600 kHz";"15800 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"15800 kHz";"16100 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"Euroloop";"EN 302 609";"Mainly within the band 11100-16000 kHz"
"15800 kHz";"16100 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"15800 kHz";"16100 kHz";"FIXED";"";"FIXED";"ECA36";"";"Land military systems";"";""
"15800 kHz";"16100 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"16100 kHz";"16200 kHz";"FIXED, Radiolocation(5.145A)";"5.145B";"FIXED, Radiolocation(5.145A)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"16100 kHz";"16200 kHz";"FIXED, Radiolocation(5.145A)";"5.145B";"FIXED, Radiolocation(5.145A)";"ECA36";"";"Land military systems";"";""
"16100 kHz";"16200 kHz";"FIXED, Radiolocation(5.145A)";"5.145B";"FIXED, Radiolocation(5.145A)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"16200 kHz";"16360 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"16200 kHz";"16360 kHz";"FIXED";"";"FIXED";"ECA36";"";"Land military systems";"";""
"16200 kHz";"16360 kHz";"FIXED";"";"FIXED";"ECA36";"";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"16360 kHz";"17410 kHz";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.145, 5.137A)";"";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.137A, 5.145)";"ECA36";"";"DSC";"EN 302 885, EN 303 402";"16804.5 kHz (DSC distress traffic).16805, 16805.5, 16806, 16903, 16903.5, 16904 kHz  (DSC calling)"
"16360 kHz";"17410 kHz";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.145, 5.137A)";"";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.137A, 5.145)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"16360 kHz";"17410 kHz";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.145, 5.137A)";"";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.137A, 5.145)";"ECA36";"";"Maritime communications";"EN 303 402";"Appendix 17 channelling plan. Appendix 25 allotment plan.16420 kHz (Radiotelephony distress and safety traffic).16695 kHz (Telex distress traffic).16806.5 kHz (Maritime Safety Information)"
"16360 kHz";"17410 kHz";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.145, 5.137A)";"";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.137A, 5.145)";"ECA36";"";"Maritime military systems";"";""
"16360 kHz";"17410 kHz";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.145, 5.137A)";"";"MARITIME MOBILE(5.109, 5.110, 5.132, 5.137A, 5.145)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"17410 kHz";"17480 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"17410 kHz";"17480 kHz";"FIXED";"";"FIXED";"ECA36";"";"Land military systems";"";""
"17410 kHz";"17480 kHz";"FIXED";"";"FIXED";"ECA36";"";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"17480 kHz";"17550 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"";"Broadcasting";"EN 302 017, EN 302 245";"Digital systems to be introduced"
"17480 kHz";"17550 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"17480 kHz";"17550 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"17550 kHz";"17900 kHz";"BROADCASTING";"";"BROADCASTING";"";"";"Broadcasting";"EN 302 017, EN 302 245";"RR-Article 12 planning procedure. Digital systems to be introduced"
"17550 kHz";"17900 kHz";"BROADCASTING";"";"BROADCASTING";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"17550 kHz";"17900 kHz";"BROADCASTING";"";"BROADCASTING";"";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"17900 kHz";"17970 kHz";"AERONAUTICAL MOBILE (R)";"";"AERONAUTICAL MOBILE (R)";"ECA36";"";"Aeronautical communications";"";"Appendix 27 Allotment Plan. Including HF Data Links"
"17900 kHz";"17970 kHz";"AERONAUTICAL MOBILE (R)";"";"AERONAUTICAL MOBILE (R)";"ECA36";"";"Aeronautical military systems";"";""
"17900 kHz";"17970 kHz";"AERONAUTICAL MOBILE (R)";"";"AERONAUTICAL MOBILE (R)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"17900 kHz";"17970 kHz";"AERONAUTICAL MOBILE (R)";"";"AERONAUTICAL MOBILE (R)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"17970 kHz";"18030 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"";"Aeronautical communications";"";"Appendix 26 Allotment Plan"
"17970 kHz";"18030 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"";"Aeronautical military systems";"";""
"17970 kHz";"18030 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"17970 kHz";"18030 kHz";"AERONAUTICAL MOBILE (OR)";"";"AERONAUTICAL MOBILE (OR)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"18030 kHz";"18052 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"18030 kHz";"18052 kHz";"FIXED";"";"FIXED";"ECA36";"";"Land military systems";"";""
"18030 kHz";"18052 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"18052 kHz";"18068 kHz";"FIXED, Space research";"";"FIXED, Space research";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"18052 kHz";"18068 kHz";"FIXED, Space research";"";"FIXED, Space research";"ECA36";"";"Land military systems";"";""
"18052 kHz";"18068 kHz";"FIXED, Space research";"";"FIXED, Space research";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"18068 kHz";"18168 kHz";"AMATEUR, AMATEUR-SATELLITE";"5.154";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur";"EN 301 783";""
"18068 kHz";"18168 kHz";"AMATEUR, AMATEUR-SATELLITE";"5.154";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur-satellite";"";""
"18068 kHz";"18168 kHz";"AMATEUR, AMATEUR-SATELLITE";"5.154";"AMATEUR, AMATEUR-SATELLITE";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"18068 kHz";"18168 kHz";"AMATEUR, AMATEUR-SATELLITE";"5.154";"AMATEUR, AMATEUR-SATELLITE";"";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"18168 kHz";"18780 kHz";"FIXED, Mobile except aeronautical mobile";"";"FIXED, Mobile except aeronautical mobile";"ECA36";"";"DSC";"EN 302 885, EN 303 402";"Centre frequencies at
18898.5, 18899. 18899.5 kHz (DSC) digital selective calling)"
"18168 kHz";"18780 kHz";"FIXED, Mobile except aeronautical mobile";"";"FIXED, Mobile except aeronautical mobile";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"18168 kHz";"18780 kHz";"FIXED, Mobile except aeronautical mobile";"";"FIXED, Mobile except aeronautical mobile";"ECA36";"";"Land military systems";"";""
"18168 kHz";"18780 kHz";"FIXED, Mobile except aeronautical mobile";"";"FIXED, Mobile except aeronautical mobile";"ECA36";"";"Maritime military systems";"";""
"18168 kHz";"18780 kHz";"FIXED, Mobile except aeronautical mobile";"";"FIXED, Mobile except aeronautical mobile";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"18780 kHz";"18900 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"18780 kHz";"18900 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"";"Maritime communications";"EN 303 402";"Appendix 17
channelling plan"
"18780 kHz";"18900 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"";"Maritime military systems";"";""
"18780 kHz";"18900 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"18900 kHz";"19020 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"";"Broadcasting";"EN 302 017, EN 302 245";"RR-Article 12 planning procedure. Digital systems to be introduced"
"18900 kHz";"19020 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"18900 kHz";"19020 kHz";"BROADCASTING(5.134)";"5.146";"BROADCASTING(5.134)";"5.146";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"19020 kHz";"19680 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"19020 kHz";"19680 kHz";"FIXED";"";"FIXED";"ECA36";"";"Land military systems";"";""
"19020 kHz";"19680 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"19680 kHz";"19800 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"";"DSC";"EN 302 885, EN 303 402";"19703.5, 19704, 19704.5 kHz (DSC calling)"
"19680 kHz";"19800 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"19680 kHz";"19800 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"";"Maritime communications";"EN 303 402";"Appendix 17
channelling plan. Appendix 25 allotment plan.19680.5 kHz (Maritime Safety Information)"
"19680 kHz";"19800 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"";"Maritime military systems";"";""
"19680 kHz";"19800 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"19800 kHz";"19990 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"19800 kHz";"19990 kHz";"FIXED";"";"FIXED";"ECA36";"";"Land military systems";"";""
"19800 kHz";"19990 kHz";"FIXED";"";"FIXED";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"19990 kHz";"19995 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"5.111";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"19990 kHz";"19995 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"5.111";"";"SAR (communications)";"";"19993 kHz (+/-3 kHz) concerning manned space vehicles"
"19990 kHz";"19995 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"5.111";"";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"19995 kHz";"20010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (20 000 KHZ)";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL (20 000 KHZ)";"5.111";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"19995 kHz";"20010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (20 000 KHZ)";"5.111";"STANDARD FREQUENCY AND TIME SIGNAL (20 000 KHZ)";"5.111";"";"ULP-AID";"EN 300 330";"Within frequency range 12500-20000 kHz"

"20010 kHz";"21000 kHz";"FIXED, Mobile";"";"FIXED, Mobile";"ECA36";"";"Aeronautical military systems";"";""
"20010 kHz";"21000 kHz";"FIXED, Mobile";"";"FIXED, Mobile";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"20010 kHz";"21000 kHz";"FIXED, Mobile";"";"FIXED, Mobile";"ECA36";"";"Land military systems";"";""
"20010 kHz";"21000 kHz";"FIXED, Mobile";"";"FIXED, Mobile";"ECA36";"";"Maritime military systems";"";""

"21000 kHz";"21450 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur";"EN 301 783";""
"21000 kHz";"21450 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur-satellite";"";""
"21000 kHz";"21450 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"21450 kHz";"21850 kHz";"BROADCASTING";"";"BROADCASTING";"";"";"Broadcasting";"EN 302 017, EN 302 245";"RR-Article 12 planning procedure. Digital systems to be introduced"
"21450 kHz";"21850 kHz";"BROADCASTING";"";"BROADCASTING";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"21850 kHz";"21870 kHz";"FIXED(5.155A)";"5.155";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"21850 kHz";"21870 kHz";"FIXED(5.155A)";"5.155";"FIXED";"ECA36";"";"Land military systems";"";""

"21870 kHz";"21924 kHz";"FIXED(5.155B)";"";"FIXED(5.155B)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"21870 kHz";"21924 kHz";"FIXED(5.155B)";"";"FIXED(5.155B)";"ECA36";"";"Land military systems";"";""

"21924 kHz";"22000 kHz";"AERONAUTICAL MOBILE (R)";"";"AERONAUTICAL MOBILE (R)";"ECA36";"";"Aeronautical communications";"";"Appendix 27 Allotment Plan. Including HF Data Links."
"21924 kHz";"22000 kHz";"AERONAUTICAL MOBILE (R)";"";"AERONAUTICAL MOBILE (R)";"ECA36";"";"Aeronautical military systems";"";""
"21924 kHz";"22000 kHz";"AERONAUTICAL MOBILE (R)";"";"AERONAUTICAL MOBILE (R)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"22000 kHz";"22855 kHz";"MARITIME MOBILE(5.132, 5.137A)";"5.156";"MARITIME MOBILE(5.132, 5.137A)";"ECA36";"";"DSC";"EN 302 885, EN 303 402";"22374.5, 22375, 22375.5, 22444, 22444.5, 22445 kHz (DSC calling) "
"22000 kHz";"22855 kHz";"MARITIME MOBILE(5.132, 5.137A)";"5.156";"MARITIME MOBILE(5.132, 5.137A)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"22000 kHz";"22855 kHz";"MARITIME MOBILE(5.132, 5.137A)";"5.156";"MARITIME MOBILE(5.132, 5.137A)";"ECA36";"";"Maritime communications";"EN 303 402";"Appendix 17
channelling plan. Appendix 25 allotment plan. 22376 kHz safety information."
"22000 kHz";"22855 kHz";"MARITIME MOBILE(5.132, 5.137A)";"5.156";"MARITIME MOBILE(5.132, 5.137A)";"ECA36";"";"Maritime military systems";"";""

"22855 kHz";"23000 kHz";"FIXED";"5.156";"FIXED";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"22855 kHz";"23000 kHz";"FIXED";"5.156";"FIXED";"ECA36";"";"Land military systems";"";""

"23000 kHz";"23200 kHz";"FIXED, Mobile except aeronautical mobile (R)";"5.156";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"23000 kHz";"23200 kHz";"FIXED, Mobile except aeronautical mobile (R)";"5.156";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"";"Land military systems";"";""
"23000 kHz";"23200 kHz";"FIXED, Mobile except aeronautical mobile (R)";"5.156";"FIXED, Mobile except aeronautical mobile (R)";"ECA36";"";"Maritime military systems";"";""

"23200 kHz";"23350 kHz";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"ECA36";"";"Aeronautical communications";"";""
"23200 kHz";"23350 kHz";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"ECA36";"";"Aeronautical military systems";"";""
"23200 kHz";"23350 kHz";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"23200 kHz";"23350 kHz";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"";"AERONAUTICAL MOBILE (OR), FIXED(5.156A)";"ECA36";"";"Land military systems";"";""

"23350 kHz";"24000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE(5.157)";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE(5.157)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"23350 kHz";"24000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE(5.157)";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE(5.157)";"ECA36";"";"Land military systems";"";""
"23350 kHz";"24000 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE(5.157)";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE(5.157)";"ECA36";"";"Maritime military systems";"";""

